date,inpc,inpc_lag_12,inflacion
2016-01,89.386381,87.110103,2.6131044753787025
2016-02,89.777781,87.275377,2.86725086274906
2016-03,89.910001,87.630717,2.601010328376052
2016-04,89.625278,87.40384,2.5415794088680776
2016-05,89.225615,86.967366,2.5966625228134532
2016-06,89.324028,87.113108,2.5379877388831185
2016-07,89.556914,87.24082,2.6548283246306204
2016-08,89.809333,87.424875,2.727436556243279
2016-09,90.357744,87.752419,2.968949494144413
2016-10,90.906154,88.203919,3.0636223771417725
2016-11,91.616834,88.685468,3.305350996174483
2016-12,92.039035,89.046818,3.360273917929324
2017-01,93.603882,89.386381,4.7182814124670625
2017-02,94.14478,89.777781,4.86423138482337
2017-03,94.722489,89.910001,5.352561390806798
2017-04,94.838933,89.625278,5.817170240743907
2017-05,94.725494,89.225615,6.1640135514896555
2017-06,94.96364,89.324028,6.313656164274195
2017-07,95.322736,89.556914,6.438165120339012
2017-08,95.793768,89.809333,6.663488971686271
2017-09,96.093515,90.357744,6.3478466217571805
2017-10,96.698269,90.906154,6.37153233872374
2017-11,97.695174,91.616834,6.634523083388788
2017-12,98.272883,92.039035,6.773047979044966
2018-01,98.794999699501,93.603882,5.545835908281038
2018-02,99.17137448164,94.14478,5.3392174071042575
2018-03,99.492156980588,94.722489,5.035412425224606
2018-04,99.154847046097,94.838933,4.550783006064618
2018-05,98.994080173087,94.725494,4.506269635381366
2018-06,99.376464931787,94.96364,4.646857399091897
2018-07,99.909099104514,95.322736,4.811405229193166
2018-08,100.492,95.793768,4.904527818552884
2018-09,100.917,96.093515,5.019573901527075
2018-10,101.44,96.698269,4.903635865498268
2018-11,102.303,97.695174,4.716533899617192
2018-12,103.02,98.272883,4.830546184342643
2019-01,103.108,98.794999699501,4.365605864282207
2019-02,103.079,99.17137448164,3.9402756478719825
2019-03,103.476,99.492156980588,4.004177957654775
2019-04,103.531,99.154847046097,4.4134533855602065
2019-05,103.233,98.994080173087,4.281993245961213
2019-06,103.299,99.376464931787,3.947146913412025
2019-07,103.687,99.909099104514,3.7813381657400003
2019-08,103.67,100.492,3.1624407913067643
2019-09,103.942,100.917,2.997512807554714
2019-10,104.503,101.44,3.0195189274447864
2019-11,105.346,102.303,2.9744973265691144
2019-12,105.934,103.02,2.828576975344599
2020-01,106.447,103.108,3.2383520192419635
2020-02,106.889,103.079,3.696194181162027
2020-03,106.838,103.476,3.249062584560658
2020-04,105.755,103.531,2.1481488636253765
2020-05,106.162,103.233,2.837271027675259
2020-06,106.743,103.299,3.3340109778410065
2020-07,107.444,103.687,3.6234050556000374
2020-08,107.867,103.67,4.048422880293234
2020-09,108.114,103.942,4.013776914048228
2020-10,108.774,104.503,4.086964010602556
2020-11,108.856,105.346,3.331877812161821
2020-12,109.271,105.934,3.1500745747352177
2021-01,110.21,106.447,3.5350925812845713
2021-02,110.907,106.889,3.759039751517923
2021-03,111.824,106.838,4.666878825885923
2021-04,112.19,105.755,6.08481868469577
2021-05,112.419,106.162,5.893822648405256
2021-06,113.018,106.743,5.878605622851163
2021-07,113.682,107.444,5.805815122296276
2021-08,113.899,107.867,5.592071717948954
2021-09,114.601,108.114,6.000147991934424
2021-10,115.561,108.774,6.239542537738796
2021-11,116.884,108.856,7.374880576174037
2021-12,117.308,109.271,7.355107942638028
2022-01,118.002,110.21,7.070138825877881
2022-02,118.981,110.907,7.279973310972254
2022-03,120.159,111.824,7.453677207039644
2022-04,120.809,112.19,7.682502896871379
2022-05,121.022,112.419,7.652620998229853
2022-06,122.044,113.018,7.986338459360454
2022-07,122.948,113.682,8.150806636054941
2022-08,123.803,113.899,8.695423138043346
2022-09,124.571,114.601,8.699749565885107
2022-10,125.276,115.561,8.406815448118298
2022-11,125.997,116.884,7.796618869990768
2022-12,126.478,117.308,7.817028676646087
2023-01,127.336,118.002,7.910035423128425
2023-02,128.046,118.981,7.618863516023566
2023-03,128.389,120.159,6.849258066395358
2023-04,128.363,120.809,6.252845400591012
2023-05,128.084,121.022,5.835302672241416
2023-06,128.214,122.044,5.055553734718621
2023-07,128.832,122.948,4.78576308683345
2023-08,129.545,123.803,4.638013618409875
2023-09,130.12,124.571,4.4544878021369305
2023-10,130.609,125.276,4.2570005428015145
2023-11,131.445,125.997,4.323912474106528
2023-12,132.373,126.478,4.660889640886157
2024-01,133.555,127.336,4.883929132374187
2024-02,133.681,128.046,4.400762226075017
2024-03,134.065,128.389,4.4209394885854625
2024-04,134.336,128.363,4.65321003716026
2024-05,134.087,128.084,4.686768058461621
2024-06,134.594,128.214,4.9760556569485415
2024-07,136.003,128.832,5.566163686040726
2024-08,136.013,129.545,4.992859624068879
2024-09,136.08,130.12,4.58038733476791
2024-10,136.828,130.609,4.761540169513578
2024-11,137.424,131.445,4.548670546616473
2024-12,137.949,132.373,4.212339374343732
2025-01,138.343,133.555,3.585039871214102
2025-02,138.726,133.681,3.7739095308981785
