timestamp,value
2020-01-01,7.12
2020-02-01,6.96
2020-03-01,6.81
2020-04-01,6.09
2020-05-01,5.47
2020-06-01,5.06
2020-07-01,4.82
2020-08-01,4.49
2020-09-01,4.38
2020-10-01,4.2
2020-11-01,4.23
2020-12-01,4.27
2021-01-01,4.22
2021-02-01,4.12
2021-03-01,4.05
2021-04-01,4.07
2021-05-01,4.06
2021-06-01,4.02
2021-07-01,4.32
2021-08-01,4.46
2021-09-01,4.55
2021-10-01,4.84
2021-11-01,5.05
2021-12-01,5.29
2022-01-01,5.53
2022-02-01,5.87
2022-03-01,6.31
2022-04-01,6.56
2022-05-01,6.91
2022-06-01,7.31
2022-07-01,7.76
2022-08-01,8.25
2022-09-01,8.7
2022-10-01,8.93
2022-11-01,9.42
2022-12-01,9.96
2023-01-01,10.61
2023-02-01,10.92
2023-03-01,11.23
2023-04-01,11.29
2023-05-01,11.32
2023-06-01,11.16
2023-07-01,11.22
2023-08-01,11.16
2023-09-01,11.08
2023-10-01,11.08
2023-11-01,10.89
2023-12-01,11.21
2024-01-01,11.29
2024-02-01,11.05
2024-03-01,11.02
2024-04-01,10.97
2024-05-01,10.99
2024-06-01,10.97
2024-07-01,10.92
2024-08-01,10.76
2024-09-01,10.44
2024-10-01,10.24
2024-11-01,10.05
2024-12-01,9.85
2025-01-01,9.86
2025-02-01,9.45
